"grdc.id"	"basin.set"	"reservoir"	"capacity_km3"	"surface.area_km2"	"mean.depth_m"	"mean.inflow_km3d"
"51"	"X4147110"	"behavioural"	"non-irrigation"	0.147100001573563	31	4.74516134108266	0.147755742073059
"52"	"X4147110"	"behavioural"	"non-irrigation"	0.161300003528595	28	5.76071441173553	0.066367544233799
"53"	"X4147110"	"behavioural"	"non-irrigation"	0.0692000016570091	10	6.92000016570091	0.506534457206726
"54"	"X4147715"	"behavioural"	"non-irrigation"	0.10080000013113	3	33.6000000437101	0.00335576431825757
"55"	"X4147715"	"behavioural"	"non-irrigation"	0.16779999434948	2	83.8999971747398	0.00382524798624218
"56"	"X4147715"	"behavioural"	"non-irrigation"	0.176599994301796	2	88.299997150898	0.0274147372692823
"57"	"X4147726"	"behavioural"	"non-irrigation"	0.25780001282692	2	128.90000641346	0.0490713529288769
"58"	"X4147726"	"behavioural"	"non-irrigation"	0.0838999971747398	6	13.9833328624566	0.00367580237798393
"59"	"X4133751"	"behavioural"	"non-irrigation"	0.0900000035762787	2	45.0000017881393	0.00153005518950522
"60"	"X4147720"	"behavioural"	"non-irrigation"	1.07439994812012	30	35.8133316040039	0.0920555144548416
"61"	"X4132800"	"behavioural"	"non-irrigation"	0.340400010347366	52	6.54615404514166	0.0140452263876796
"62"	"X4132800"	"behavioural"	"non-irrigation"	0.012699999846518	0	0	0.050664097070694
"63"	"X4152700"	"additional"	"non-irrigation"	0.045499999076128	4	11.374999769032	0.00149510358460248
"64"	"X4152700"	"additional"	"non-irrigation"	0.02280000038445	1	22.80000038445	0.00646733306348324
"65"	"X4152700"	"additional"	"irrigation"	0.0513999983668327	2	25.6999991834164	0.0129932314157486
"66"	"X4152700"	"additional"	"irrigation"	0.0149999996647239	0	0	0.00209888815879822
"67"	"X4125943"	"additional"	"non-irrigation"	0.0179999992251396	1	17.9999992251396	0.00222573266364634
"68"	"X4125943"	"additional"	"non-irrigation"	0.0288999993354082	1	28.8999993354082	0.00218798546120524
"69"	"X4125943"	"additional"	"non-irrigation"	0.509400010108948	6	84.9000016848246	0.0855512619018555
"70"	"X4235300"	"behavioural"	"non-irrigation"	0.0177999995648861	3	5.93333318829536	0.00437991274520755
"71"	"X4235300"	"behavioural"	"non-irrigation"	0.0480999983847141	2	24.0499991923571	0.0533886253833771
"72"	"X4123082"	"behavioural"	"non-irrigation"	0.0138999996706843	0	0	0.00362407090142369
"73"	"X4207860"	"additional"	"non-irrigation"	0.160999998450279	20	8.04999992251396	0.0862217992544174
"74"	"X4115262"	"additional"	"irrigation"	0.194900006055832	9	21.6555562284258	0.010850477963686
"75"	"X4115262"	"additional"	"irrigation"	0.302199989557266	16	18.8874993473291	0.00546201691031456
"76"	"X4115262"	"additional"	"irrigation"	0.538999974727631	16	33.6874984204769	0.0699004307389259
"77"	"X4134300"	"behavioural"	"non-irrigation"	0.0185000002384186	2	9.25000011920929	0.0196385513991117
"78"	"X4134300"	"behavioural"	"non-irrigation"	0.0816999971866608	8	10.2124996483326	0.0644728690385818
"79"	"X4148955"	"additional"	"non-irrigation"	0.256599992513657	35	7.33142835753305	0.00931805744767189
"80"	"X4148955"	"additional"	"non-irrigation"	0.0900000035762787	0	0	0.000968514184933156
"81"	"X4148955"	"additional"	"non-irrigation"	0.344099998474121	64	5.37656247615814	0.0114850560203195
"82"	"X4148955"	"additional"	"non-irrigation"	0.0900000035762787	11	8.18181850693442	0.00172565819229931
"83"	"X4148955"	"additional"	"non-irrigation"	0.90039998292923	121	7.44132217296884	0.0692870765924454
"84"	"X4152553"	"additional"	"non-irrigation"	0.185599997639656	31	5.98709669805342	0.10716201364994
"85"	"X4235100"	"additional"	"non-irrigation"	0.0555999986827374	3	18.5333328942458	0.0137678477913141
"86"	"X4235100"	"additional"	"non-irrigation"	0.0612000003457069	5	12.2400000691414	0.031853262335062
"87"	"X4115240"	"additional"	"irrigation"	0.0835999995470047	2	41.7999997735023	0.00826535653322935
"88"	"X4213101"	"behavioural"	"irrigation"	0.490000009536743	22	22.2727277062156	0.0902488380670547
"89"	"X4135205"	"behavioural"	"non-irrigation"	0.185499995946884	49	3.78571420299764	0.0045860568061471
"90"	"X4145900"	"behavioural"	"non-irrigation"	0.616699993610382	11	56.063635782762	0.105333991348743
"91"	"X4145900"	"behavioural"	"irrigation"	0.110200002789497	2	55.1000013947487	0.007675149012357
"92"	"X4145900"	"behavioural"	"irrigation"	0.0480999983847141	2	24.0499991923571	0.000580303953029215
"93"	"X4148310"	"behavioural"	"non-irrigation"	0.0346000008285046	3	11.5333336095015	0.00300144916400313
"94"	"X4152660"	"additional"	"irrigation"	0.0148000000044703	1	14.8000000044703	2.51414348895196e-05
"95"	"X4152660"	"additional"	"irrigation"	0.0339000001549721	2	16.950000077486	0.000800201785750687
"96"	"X4152660"	"additional"	"irrigation"	0.282499998807907	14	20.1785713434219	0.0191463027149439
"97"	"X4152660"	"additional"	"irrigation"	0.0280000008642673	2	14.0000004321337	0.000109629356302321
"98"	"X4119325"	"behavioural"	"non-irrigation"	0.308400005102158	18	17.1333336167865	0.0232554841786623
"99"	"X4132200"	"additional"	"non-irrigation"	0.0579000003635883	17	3.40588237432873	0.00320326560176909
"100"	"X4132200"	"additional"	"non-irrigation"	0.218299999833107	31	7.04193547848732	0.0375887043774128
"101"	"X4132200"	"additional"	"non-irrigation"	0.0515000000596046	10	5.15000000596046	0.00221343082375824
"102"	"X4125070"	"behavioural"	"non-irrigation"	0.304500013589859	30	10.1500004529953	0.0147002544254065
"103"	"X4125070"	"behavioural"	"non-irrigation"	0.0804999992251396	3	26.8333330750465	0.00143046677112579
"104"	"X4213375"	"behavioural"	"non-irrigation"	0.490000009536743	42	11.666666893732	0.137963876128197
"105"	"X4215101"	"behavioural"	"non-irrigation"	0.140000000596046	0	0	0.000159184201038443
"106"	"X4215101"	"behavioural"	"non-irrigation"	0.0678000003099442	22	3.08181819590655	0.0501566119492054
"107"	"X4123350"	"behavioural"	"non-irrigation"	0.0204000007361174	1	20.4000007361174	0.00298795290291309
"108"	"X4119322"	"additional"	"non-irrigation"	0.024100000038743	2	12.0500000193715	0.00468560354784131
"109"	"X4115102"	"behavioural"	"non-irrigation"	0.0216000005602837	0	0	0.056897759437561
"110"	"X4115102"	"behavioural"	"non-irrigation"	0.10980000346899	2	54.9000017344952	0.0233989115804434
"111"	"X4115102"	"behavioural"	"non-irrigation"	0.270099997520447	2	135.049998760223	0.0347554124891758
"112"	"X4115102"	"behavioural"	"non-irrigation"	0.0368999987840652	3	12.2999995946884	0.273609697818756
"113"	"X4115102"	"behavioural"	"non-irrigation"	0.154200002551079	3	51.4000008503596	0.00983368419110775
"114"	"X4115102"	"behavioural"	"non-irrigation"	0.589200019836426	11	53.5636381669478	0.258698910474777
"115"	"X4115102"	"behavioural"	"non-irrigation"	0.16159999370575	4	40.3999984264374	0.0573338083922863
"116"	"X4115102"	"behavioural"	"non-irrigation"	0.0617000013589859	2	30.850000679493	0.0237903948873281
"117"	"X4115102"	"behavioural"	"non-irrigation"	0.439099997282028	7	62.7285710402897	0.0609308704733849
"118"	"X4113305"	"additional"	"non-irrigation"	0.0866999998688698	16	5.41874999180436	0.00675981631502509
"119"	"X4113305"	"additional"	"non-irrigation"	0.0961000025272369	4	24.0250006318092	0.000693678681273013
"120"	"X4113305"	"additional"	"non-irrigation"	0.195899993181229	26	7.53461512235495	0.00828514341264963
"121"	"X4113305"	"additional"	"non-irrigation"	0.123599998652935	28	4.41428566617625	0.00377031625248492
"122"	"X4113305"	"additional"	"non-irrigation"	0.0966000035405159	21	4.600000168596	0.0122438473626971
"123"	"X4113305"	"additional"	"non-irrigation"	0.687300026416779	55	12.4963641166687	0.0222705956548452
"124"	"X4113305"	"additional"	"non-irrigation"	0.0623999983072281	9	6.93333314524757	0.00154209358152002
"125"	"X4113305"	"additional"	"non-irrigation"	0.25780001282692	42	6.13809554349808	0.00571074709296227
"126"	"X4116400"	"additional"	"irrigation"	0.805499970912933	94	8.56914862673333	0.0282388534396887
"127"	"X4116400"	"additional"	"irrigation"	0.199799999594688	10	19.9799999594688	0.011877934448421
"128"	"X4125565"	"additional"	"non-irrigation"	0.0181000009179115	2	9.05000045895576	0.00121201318688691
"129"	"X4125565"	"additional"	"non-irrigation"	0.0318999998271465	2	15.9499999135733	0.00333889573812485
"130"	"X4125565"	"additional"	"non-irrigation"	0.0373999997973442	3	12.4666665991147	0.00141950836405158
"131"	"X4213563"	"additional"	"non-irrigation"	0.202999994158745	16	12.6874996349216	0.0747350752353668
"132"	"X4122255"	"additional"	"non-irrigation"	0.0335999988019466	2	16.7999994009733	0.00107054831460118
"133"	"X4122255"	"additional"	"non-irrigation"	0.0368999987840652	1	36.8999987840652	0.00105046178214252
"134"	"X4122255"	"additional"	"non-irrigation"	0.0403000004589558	2	20.1500002294779	0.0015319692902267
"135"	"X4116191"	"additional"	"irrigation"	0.0186999998986721	1	18.6999998986721	0.00241902284324169
"136"	"X4116191"	"additional"	"irrigation"	1.07679998874664	106	10.158490459874	0.0933571830391884
"137"	"X4116191"	"additional"	"irrigation"	1.48020005226135	59	25.088136479006	0.458259046077728
"138"	"X4113321"	"additional"	"non-irrigation"	0.0755999982357025	21	3.59999991598583	0.0193336736410856
"139"	"X4113321"	"additional"	"non-irrigation"	4.22840023040771	1141	3.70587224400326	0.0803299993276596
