"grdc_ids"	"basin_size"	"reservoir_area"	"water_stress"	"aridity"	"mean_precipitation_as_snow"	"globalLakes"	"globalWetlands"	"localLakes"	"localWetlands"	"open_water"	"wetland"	"lakes"	"global_waterbodies"	"local_waterbodies"	"batjes"	"mean_temperature"	"sum_precipitation"
"16"	"X4214470"	7995.16339492798	0	0.000380731342213023	0.966913958823277	0.461138877520398	2.20535241205867	0	8.17775735151059	66.7417972307518	77.124906994321	66.7417972307518	10.3831097635693	2.20535241205867	74.9195545822624	160	-1.28933228432074	662.364337404565
"18"	"X4148955"	7408.0913772583	231	0.343222722843334	0.684439767343722	0	6.2123186315983	0	3.17680211452488	31.3161666782285	40.7052874243517	31.3161666782285	9.38912074612317	6.2123186315983	34.4929687927534	160.069545247443	22.8652187668022	1387.3424804392
"19"	"X4127700"	7388.13185882568	0	0.0671604039983985	0.954390708122913	0.00619054707641874	0	0	0.00963407318651514	6.10188763434758	6.1115217075341	6.10188763434758	0.00963407318651514	0	6.1115217075341	130.896798272368	17.7224651919416	1480.20101573868
"20"	"X4148310"	7316.53419494629	3	0.159178163747384	0.800341143060486	0.0127887485218552	0.0286376152762862	0	0	37.8884106477675	37.9170482630437	37.8884106477675	0.0286376152762862	0.0286376152762862	37.8884106477675	118.199480841759	16.777268398784	1263.06497211548
"21"	"X4148610"	6957.31587219238	0	0.284255184249577	0.754815073481154	0.00384183685983168	0	0	0	18.4121716540526	18.4121716540526	18.4121716540526	0	0	18.4121716540526	115.136083030608	17.8472421896846	1211.07208416842
"22"	"X4148570"	6916.35037231445	0	0.132167146319529	0.771960802009544	0.00576873922163949	0	0	0	36.0422650850937	36.0422650850937	36.0422650850937	0	0	36.0422650850937	119.45669593248	17.8762204672019	1222.91477894459
"23"	"X4148750"	6711.07009887695	0	0.225259228092689	0.791839824707236	0.000668299689189182	0	0	0.0326531673911693	36.4311420969495	36.4637952643407	36.4311420969495	0.0326531673911693	0	36.4637952643407	151	18.967537613839	1295.28902981945
"26"	"X4126100"	6571.10777282715	76	0.0213571697762661	0.870042869369627	0.0173320077036538	1.03287703436628	0	0.204401913590279	0.884766853161183	2.12204580111774	0.884766853161183	1.23727894795656	1.03287703436628	1.08916876675146	129.778925011861	16.686257137985	1411.1089031974
"27"	"X4356300"	6534.97454833984	6	0.180390568712539	0.501110700323614	0	0.0989611019426226	0	0	0	0.0989611019426226	0	0.0989611019426226	0.0989611019426226	0	158.350073188302	22.3155559773674	847.089569732508
"28"	"X4243360"	6231.93955993652	0	0.00551131410007296	1.39147714571	0.317843098454455	0	0	0.995699575142664	1.25863795951324	2.2543375346559	1.25863795951324	0.995699575142664	0	2.2543375346559	143.349653022373	3.9845564518813	1191.32436991002
"29"	"X4214690"	5973.08837509155	0	0.00272806545870938	1.11196989089741	0.447797289842843	0	0	3.86229393458589	64.7498162718449	68.6121102064308	64.7498162718449	3.86229393458589	0	68.6121102064308	271.367823354814	-1.2738899972302	823.44691260065
"30"	"X4102850"	5780.5492401123	0	0.0170154869397001	1.56925545630619	0.366815562460398	2.70111286583711	0	1.65946684310275	1.25390626753942	5.61448597647928	1.25390626753942	4.36057970893986	2.70111286583711	2.91337311064217	132.443269364035	1.08189322073149	1160.98024288404
"31"	"X4214290"	4127.60772705078	0	0.000749881114599289	0.650319060081206	0.484118156103841	1.40065898596302	0	7.20523293213593	1.01618365742242	9.62207557552136	1.01618365742242	8.60589191809895	1.40065898596302	8.22141658955834	169	-1.32116201820237	537.468716655657
"32"	"X4150331"	5582.00219726562	35	0.766386689871732	0.391332953679318	0.00346554553518977	0.640137516461007	0	0.48038491365486	0	1.12052243011587	0	1.12052243011587	0.640137516461007	0.48038491365486	145.422786368541	20.772872846545	844.055117672553
"33"	"X4126750"	5508.87413024902	4	0.114561605597076	0.913532598672051	0.0137969674823992	0.15309509338674	0	0.280921326182211	0	0.434016419568951	0	0.434016419568951	0.15309509338674	0.280921326182211	124.827659805987	17.3147204627453	1431.05529205883
"34"	"X4147651"	5209.78234100342	6	0.428081387807793	0.967827275804521	0.109571833486045	0.137310204273916	0	0.601169804041622	0	0.738480008315538	0	0.738480008315538	0.137310204273916	0.601169804041622	138.516453062983	10.7741364599606	1304.2674740647
"35"	"X4214420"	5083.25866699219	0	0.000396245501498827	0.985083124275252	0.438070271483288	0	0	5.97063915763763	41.8821158877126	47.8527550453502	41.8821158877126	5.97063915763763	0	47.8527550453502	97.6419451201436	-0.176651790798539	787.247174940544
"36"	"X4356050"	5022.49882507324	0	0.146934969414866	0.597034178883614	0	0	0	0.0311861102617885	0	0.0311861102617885	0	0.0311861102617885	0	0.0311861102617885	119.223047185415	18.4305068021535	1090.16522620626
"37"	"X4146270"	4986.0739364624	26	0.250140209919392	0.724907077677945	0.0586543641521613	0.599960216648517	0	0.506391205560547	0.811419140856829	1.91777056306589	0.811419140856829	1.10635142220906	0.599960216648517	1.31781034641738	138.992370966485	11.2039384994061	1284.35231072656
"38"	"X4244770"	4917.99088668823	0	0.00344961868316291	1.8054374785233	0.278059097248639	2.18222377596573	0.0798881090595394	2.48492703314916	12.4578706477244	17.2049095658988	12.5377587567839	4.66715080911488	2.26211188502526	14.9427976808735	164	4.10447969490708	1369.36624654028
"40"	"X4147950"	4685.52057647705	2	0.388282359129896	0.844067061493947	0.0448514164502317	0.200396346404436	0.0858959186823151	0.114516624340227	0	0.400808889426978	0.0858959186823151	0.314912970744663	0.286292265086751	0.114516624340227	124.053173896172	13.5785630988802	1180.42136270881
"41"	"X4244880"	4583.25332641602	0	0.0135907974698101	1.42150223274727	0.313201213958239	0	0	0.192208355088585	0	0.192208355088585	0	0.192208355088585	0	0.192208355088585	151.599542762682	3.86962510268928	1255.80412315436
"42"	"X4145190"	4431.14498901367	16	0.0730602419153134	2.1737690810889	0.0603023280134187	0.40265193122669	0	0.714463457718273	20.0254274345937	21.1425428235387	20.0254274345937	1.11711538894496	0.40265193122669	20.739890892312	210.441799397201	8.50295000979478	2144.08626338698
"44"	"X4147490"	4064.41002655029	1	0.288043502226838	1.13621535082111	0.16820050289957	0.31431900620207	0	0.9218590720017	25.9375606102833	27.1737386884871	25.9375606102833	1.23617807820377	0.31431900620207	26.859419682285	138.373362639517	8.99613913394793	1361.97300905144
"46"	"X4131500"	3900.18466186523	293	0.0182999596904862	1.16849296181051	0.26411060825321	7.59974229047257	0	4.52415737601035	24.9882278802967	37.1121275467796	24.9882278802967	12.1238996664829	7.59974229047257	29.5123852563071	160.366006788932	5.26238806163711	1228.41534382066
"47"	"X4149950"	3858.2130279541	18	0.404194783476605	0.702024739207755	0	0.998021135688828	0	3.05314336459529	35.2620857737924	39.3132502740765	35.2620857737924	4.05116450028412	0.998021135688828	38.3152291383877	127.892914170464	22.7717163232741	1372.70454145661
"49"	"X4146210"	3596.8966293335	14	0.172852337766529	0.65829584260076	2.63296456598137e-06	0.425031038390967	0	0.129422373224141	0	0.554453411615108	0	0.554453411615108	0.425031038390967	0.129422373224141	134.79650766466	13.9007903605217	1148.58322004
"50"	"X4214610"	3530.9560585022	0	0.00999963324564653	1.22141300427695	0.375429219471781	4.48141357456766	0	3.64032476236752	26.7661701522326	34.8879084891678	26.7661701522326	8.12173833693518	4.48141357456766	30.4064949146001	169.407830402607	1.65288956140946	1002.26643858829
