"ID","sd_smax","mean_smax","Q25_smax","Q75_smax","mean_op_water","mean_wetland","mean_lakes","mean_local_water","mean_global_water","mean_res_lake_area","areaBasin","mean_aq_factor","mean_texture","mean_slope","sd_altitude","mean_altitude","Q25_altitude","Q75_altitude","mean_sealedArea","mean_Forest","mean_permaglac","mean_Rg_max","ID.1","mean_temp","min_temp","max_temp","sum_prec","min_prec","max_prec","sum_sw","min_sw","max_sw","ID.2","WaterUse","ResArea","wmo_reg","sub_reg","river","station","country","lat","long","area","altitude","d_start","d_end","d_yrs","d_miss","m_start","m_end","m_yrs","m_miss","t_start","t_end","t_yrs","lta_discharge","r_volume_yr","r_height_yr","corIndex","corArea","corLong","corLat","corGCRC","cont","use","id","HB","koeppen","HB2","koeppen2"
3651550,14.276006018004,92.0300165972375,85.5,85.5,0,0,0,0,0,0,9534.33588409424,96.0827742716141,12.6117734800407,24.057188089109,87.5140062888225,761.602328114226,689,836.5,0,0,0,639.058618799051,3651550,24.2654326564118,22.1930125113669,25.9569230113736,1007.85602310112,1.4427552649924,225.537222036046,2742.08702074592,213.420003385927,256.004436587891,3651550,-0.0228892445334031,0,3,51,"FORMOSO, RIO","COLONIA DO FORMOSO","BR",-13.56,-44.28556,9550,441,1977,2010,34,0.423970648,1977,1985,9,0,1977,2010,34,"81.24","2.56198464","268.2706429",427922,9534.33588409424,-44.37530805,-13.62501695,116890,"sa",TRUE,451,6,4,4,1
3651660,14.2063868936274,82.3955538855254,85.5,85.5,12.2656820700385,12.2656820700385,0,0,12.2656820700385,0,5346.49229431152,100,10.0881657073497,26.5469931510356,58.1221944194039,773.526947852302,734.75,820.25,0,0,0,697.942800161841,3651660,24.6165810330361,23.1921649631504,26.281552460319,1560.29271697162,1,278.778154131024,2759.21500696775,216.093511816263,253.530975995765,3651660,-0.0602653802404515,0,3,51,"ONDAS, RIO DAS","FAZENDA REDENCAO","BR",-12.13583,-45.10333,5410,474,1977,2010,34,3.31838565,1977,1985,9,0,1977,2010,34,"48.935","1.54321416","285.2521553",404861,5346.49229431152,-45.12530775,-12.20835085,109076,"sa",TRUE,59,6,4,4,1
3652050,27.7261581235574,114.371454177821,85.5,133.5,0.113513853248198,0,0.113513853248198,0,0.113513853248198,0.000569036395830362,16321.4464874268,75.1801533400179,21.6384223021498,28.2897062925382,132.177679958112,391.215067450907,288.25,489,0,0,0,438.13549820163,3652050,24.9999165558689,22.3902706092031,26.8986117355995,641.561237746917,18.9771913717209,96.8579063472112,2648.86371380023,169.190139494547,256.570084808079,3652050,0.224004048449369,0.110284342836073,3,52,"VASA BARRIS, RIO","FAZENDA BELEM","BR",-10.94306,-37.34694,15740,19,1971,2010,40,0.45554942,1971,1985,15,2.298850575,1971,2010,40,"10.739","0.338665104","21.51620737",383257,16321.4464874268,-37.45864415,-10.87501805,101459,"sa",TRUE,618,6,5,4,2
3652110,71.266048876659,114.177168993323,122.25,123,0.0267835677687921,0,0.0267835677687921,0.0267835677687921,0,0,9350.98682403564,51.4243523617099,24.5552860106786,37.9262039781429,223.231643803845,842.031809660217,671.25,1010,0,5.35793924318167,0,358.894279786428,3652110,22.6797777502215,20.2432905285568,24.1544246932804,933.83667453079,20.7523241572513,156.842477132865,2767.94975574093,195.043017385486,256.346978110342,3652110,0.194901971681893,0,3,52,"SANTO ANTONIO, RIO","FERTEM","BR",-12.75722,-41.32889,9282,320,1947,2010,64,5.186204524,1947,1993,47,8.876811594,1947,2010,64,"32.366","1.020694176","109.9648972",413043,9350.98682403564,-41.29197595,-12.70835065,111930,"sa",TRUE,439,6,5,4,2
3652210,44.7914031722232,96.6394413158453,94.875,123,0,0,0,0,0,0,7601.4691619873,50,24.7277011976655,37.237376066951,124.710566010765,710.976926430336,636.25,792.5,0,0,0,355.445976046689,3652210,23.37109671472,20.8313607500636,24.8126536354367,953.218887246542,4.96722978032777,196.123621647156,2728.96367795381,186.847762722942,261.989882326949,3652210,0.295287803141929,0,3,52,"GAVIAO, RIO","ANAGE","BR",-14.6125,-41.13806,6980,358,1968,2010,43,9.009240246,1968,1980,13,58.33333333,1968,2010,43,"7.86","0.24787296","35.51188539",445588,7601.4691619873,-41.20864265,-14.70834985,122740,"sa",TRUE,321,6,5,4,2
3662300,20.3228123939643,94.7968596758173,85.5,120,0,0,0,0,0,0,14507.0312347412,82.3518029906529,17.4205644976386,27.4412853216396,60.1224844144992,430.494282106912,383.25,472.5,0.0033675341326369,0,0,527.957486086477,3662300,23.9328480309534,20.5187827045451,26.1814217415413,1499.63441557043,32.5821268610719,239.074559534576,2537.28299833485,158.567204779899,249.026519688315,3662300,0.112898353473975,0,3,62,"ANHANDUI, RIO","DELFINO COSTA","BR",-21.6144,-53.0511,13590,323,1976,2005,30,5.073918598,1976,1985,10,6.25,1976,2005,30,"161.781","5.101925616","375.4176318",557993,14507.0312347412,-53.12530455,-21.62501375,154637,"sa",TRUE,590,6,4,4,1
3667100,10.9269147263895,120.371822814484,123,135,56.5420782859439,56.5420782859439,0,0,56.5420782859439,0,17493.0632476807,83.5975691083306,21.0114806259983,28.4973971289207,111.151967014948,203.491980884185,127,254,0,0,0,434.292552168955,3667100,25.7475141328444,22.4740891664417,27.6286209908297,1414.5003098383,23.4081802486732,235.351119265552,2588.18536102724,171.537394933645,246.748512060392,3667100,0.0458964859692623,0,3,67,"NEGRO, RIO","FAZENDA RIO NEGRO","BR",-19.56667,-56.2,14770,101,1968,1986,19,4.207492795,1968,1978,11,0,1968,1986,19,"177.247","5.589661392","378.446946",525413,17493.0632476807,-56.12530335,-19.62501455,146016,"sa",TRUE,632,6,4,4,1
3667400,28.0457580152791,132.835822051846,120,135,10.2607980075029,10.2607980075029,0,0,10.2607980075029,0,11087.2659378052,71.4353698915039,24.6547889567811,40.131745581263,106.775180195859,277.231625222417,198.25,331.75,0.000436932231742283,0,0,356.904220864378,3667400,24.2473344208178,19.4490176381776,27.5203189799491,1554.9899019207,51.8976927694716,204.182372120678,2514.24527302514,142.012076406721,263.930893104575,3667400,0.0950408650572919,0,3,67,"APA, RIO","SAO CARLOS","BR",-22.2236,-57.3039,11100,109.7,1971,2006,36,7.188832881,1971,1978,8,0,1971,2006,36,"76.984","2.427767424","218.7177859",567434,11087.2659378052,-57.37530285,-22.20834685,157043,"sa",TRUE,506,6,2,4,1
4113600,231.231574913794,268.308363614397,202,202,42.5722898563518,37.7559719161331,4.81631794021877,38.3282895365686,4.24400031978326,0.0415996265148468,5618.70623397827,50.3749155253523,17.9633193928565,25.7089315178563,23.9756784680949,415.377672172119,398.25,430,0.000697446961963382,100,0,488.308843878593,4113600,3.92434371211809,-13.2294418737811,18.7508018763184,770.20794922812,23.0977044500964,109.642104375999,1773.24013512129,48.2881057698098,239.165011899602,4113600,0.00563731558710642,1.21024301980375,4,13,"LITTLE FORK RIVER","LITTLEFORK, MINN.","US",48.3958,-93.5493,4351.2,330.28,1909,2018,110,10.74872874,1909,2002,94,12.60053619,1909,2018,110,"29.923","0.943651728","216.8716051",637490,5618.70623397827,-93.45837095,48.29139815,290015,"na",TRUE,109,1,19,1,4
4118110,24.2761031397887,95.0969461424266,93,110,4.34573557203196,3.88469318267388,0.461042389358085,4.20789494192707,0.137840630104894,0.00130040498518659,6814.17209625244,50,20,52.3777111681254,488.871480952173,2047.40546381178,1584.5,2404.5,0,1.02693813724429,0.656933938295259,450,4118110,8.19306296157345,-0.641858451311324,19.7701664437909,340.715150956114,8.26140772556782,55.2136383918321,2566.59086737514,91.6516763169707,334.502622410496,4118110,7.41033870418497,0.132077673895992,4,18,"WALKER RIVER","NEAR WABUSKA, NV","US",39.1527,-119.0982,6734,1304.54,1902,2019,118,16.18135078,NA,NA,NA,NA,1902,2019,118,"4.678","0.147525408","21.907545",804273,6814.17209625244,-119.04169405,39.12473515,362088,"na",TRUE,237,3,13,3,3
